Entrez_ID	Main Class	Classification
576.0	Receptors	GPCR;Adhesion
577.0	Receptors	GPCR;Adhesion
976.0	Receptors	GPCR;Adhesion
9620.0	Receptors	GPCR;Adhesion
1952.0	Receptors	GPCR;Adhesion
64123.0	Receptors	GPCR;Adhesion
326342.0	Receptors	GPCR;Adhesion
222611.0	Receptors	GPCR;Adhesion
139378.0	Receptors	GPCR;Adhesion
165082.0	Receptors	GPCR;Adhesion
221188.0	Receptors	GPCR;Adhesion
221393.0	Receptors	GPCR;Adhesion
221395.0	Receptors	GPCR;Adhesion
84435.0	Receptors	GPCR;Adhesion
25960.0	Receptors	GPCR;Adhesion
57211.0	Receptors	GPCR;Adhesion
84873.0	Receptors	GPCR;Adhesion
283383.0	Receptors	GPCR;Adhesion
347088.0	Receptors	GPCR;Adhesion
9289.0	Receptors	GPCR;Adhesion
10149.0	Receptors	GPCR;Adhesion
84059.0	Receptors	GPCR;Adhesion
22859.0	Receptors	GPCR;Adhesion
23266.0	Receptors	GPCR;Adhesion
23284.0	Receptors	GPCR;Adhesion
1951.0	Receptors	GPCR;Adhesion
8321.0	Receptors	GPCR;Frizzled
11211.0	Receptors	GPCR;Frizzled
2535.0	Receptors	GPCR;Frizzled
7976.0	Receptors	GPCR;Frizzled
7855.0	Receptors	GPCR;Frizzled
8324.0	Receptors	GPCR;Frizzled
8325.0	Receptors	GPCR;Frizzled
8326.0	Receptors	GPCR;Frizzled
6608.0	Receptors	GPCR;Frizzled
846.0	Receptors	GPCR;Glutamate
2550.0	Receptors	GPCR;Glutamate
9568.0	Receptors	GPCR;Glutamate
165829.0	Receptors	GPCR;Glutamate
57512.0	Receptors	GPCR;Glutamate
440435.0	Receptors	GPCR;Glutamate
9052.0	Receptors	GPCR;Glutamate
51704.0	Receptors	GPCR;Glutamate
55890.0	Receptors	GPCR;Glutamate
55507.0	Receptors	GPCR;Glutamate
222545.0	Receptors	GPCR;Glutamate
2911.0	Receptors	GPCR;Glutamate
2912.0	Receptors	GPCR;Glutamate
2913.0	Receptors	GPCR;Glutamate
2914.0	Receptors	GPCR;Glutamate
2915.0	Receptors	GPCR;Glutamate
2916.0	Receptors	GPCR;Glutamate
2917.0	Receptors	GPCR;Glutamate
80835.0	Receptors	GPCR;Glutamate
80834.0	Receptors	GPCR;Glutamate
83756.0	Receptors	GPCR;Glutamate
79470.0	Receptors	GPCR;Olf
388761.0	Receptors	GPCR;Olf
391121.0	Receptors	GPCR;Olf
390441.0	Receptors	GPCR;Olf
8391.0	Receptors	GPCR;Olf
390432.0	Receptors	GPCR;Olf
283110.0	Receptors	GPCR;Olf
81431.0	Receptors	GPCR;Olf
79482.0	Receptors	GPCR;Olf
81193.0	Receptors	GPCR;Olf
81169.0	Receptors	GPCR;Olf
79334.0	Receptors	GPCR;Olf
442361.0	Receptors	GPCR;Olf
26687.0	Receptors	GPCR;Olf
341276.0	Receptors	GPCR;Olf
26496.0	Receptors	GPCR;Olf
283297.0	Receptors	GPCR;Olf
144124.0	Receptors	GPCR;Olf
390093.0	Receptors	GPCR;Olf
121364.0	Receptors	GPCR;Olf
121275.0	Receptors	GPCR;Olf
282770.0	Receptors	GPCR;Olf
442194.0	Receptors	GPCR;Olf
26534.0	Receptors	GPCR;Olf
26533.0	Receptors	GPCR;Olf
79490.0	Receptors	GPCR;Olf
390265.0	Receptors	GPCR;Olf
26539.0	Receptors	GPCR;Olf
26538.0	Receptors	GPCR;Olf
26532.0	Receptors	GPCR;Olf
126541.0	Receptors	GPCR;Olf
284433.0	Receptors	GPCR;Olf
26476.0	Receptors	GPCR;Olf
441911.0	Receptors	GPCR;Olf
127385.0	Receptors	GPCR;Olf
391109.0	Receptors	GPCR;Olf
